"","Country","Year","CO2","GDP","Tourism","Renewable","Urban"
"50","Brazil",2004,1.83594643060426,9346.03934316368,4794000,45.3899609661063,82.521
"51","Brazil",2005,1.8659770576239,9535.41883036578,5358000,46.3479405794744,82.834
"52","Brazil",2006,1.84765454216193,9805.72450610977,5017000,46.9050600436371,83.143
"53","Brazil",2007,1.91033417515363,10293.530341463,5026000,47.4176251865182,83.448
"54","Brazil",2008,2.01859347637953,10710.8722205603,5050000,47.2633074097046,83.749
"55","Brazil",2009,1.8936200243495,10594.9865923924,4802000,49.1137230363207,84.044
"56","Brazil",2010,2.14473639509072,11286.2430162457,5161000,47.0066615686336,84.335
"57","Brazil",2011,2.22471194448911,11627.8106505917,5433000,45.4685505272025,84.631
"58","Brazil",2012,2.35854836426703,11745.7759262897,5677000,43.6207952976118,84.923
"59","Brazil",2013,2.50540878760348,11993.4839848731,5813000,42.4478425401058,85.209
"60","Brazil",2014,2.61293352087838,11951.2094463497,6430000,41.8418787194096,85.492
"61","Chile",1995,2.90282435007739,8004.31544614743,1540000,34.1675251282244,84.545
"62","Chile",1996,3.32477629620692,8427.82189597191,1450000,32.2306622953979,84.861
"63","Chile",1997,3.81401013917012,8932.07228879332,1644000,29.9535581039468,85.172
"64","Chile",1998,3.84848448026147,9199.1976785662,1759000,29.7452065833357,85.477
"65","Chile",1999,4.05617194713377,9049.47157913229,1632000,29.0542007097036,85.778
"66","Chile",2000,3.83350669874432,9419.98294955914,1742000,31.3615099880457,86.073
"67","Chile",2001,3.43772837952392,9622.15362871309,1723000,32.146033965615,86.363
"68","Chile",2002,3.51703918203102,9814.65613491896,1412000,33.0692742260041,86.606
"69","Chile",2003,3.508135131295,10109.6680484322,1614000,31.6138715474398,86.665
"70","Chile",2004,3.73249299046498,10726.6448499322,1785000,31.4340922880606,86.725
"71","Chile",2005,3.82001803034236,11225.0799494747,2027000,32.2621658393698,86.783
"72","Chile",2006,3.96308105705927,11808.8347703093,2253000,32.9071433214207,86.842
"73","Chile",2007,4.33379715121328,12256.4296859791,2507000,30.4631065443073,86.9
"74","Chile",2008,4.30034046637298,12553.7948363739,2710000,30.8274609615896,86.959
"75","Chile",2009,3.95621640079056,12227.2145300329,2760000,31.5254578448702,87.017
"76","Chile",2010,4.23447610601378,12808.034586422,2801000,27.0427409374808,87.074
"77","Chile",2011,4.59822558011175,13455.8378125533,3137000,28.7900875640179,87.132
"78","Chile",2012,4.65362524092192,14035.679130826,3554000,30.3027342301006,87.189
